Unnamed: 0,system:index,elevation,surface_runoff_sum,temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,.geo,longitude,latitude,geometry,index_right,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_n,sendist_en,sendistpco,center_lat,center_lon,distance,state_name,lga,region_type,flood_influence,historical_flood_lga,high_risk_state,hybrid_score,flood_label
9460,9460,459,1.5684308689079128e-05,299.5828314658876,0.0019056076789777,0.0932684503297328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.746720832696807,11.09419375887609]}",9.746720832696807,11.09419375887609,POINT (9.746720832696807 11.094193758876091),743,Warji,,,,NG005019,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,658.82260523,v01,en,,,,Warji,Bauchi Central,NG00501,11.163895,9.74370205,0.0,Bauchi,Warji,Northern Flash Floods,,0,0,1,0
9461,9461,490,1.81291940983764e-05,299.5626250684454,0.0019005560765157,0.0900234595002348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.83655236110876,11.09419375887609]}",9.83655236110876,11.09419375887609,POINT (9.836552361108758 11.094193758876091),743,Warji,,,,NG005019,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,658.82260523,v01,en,,,,Warji,Bauchi Central,NG00501,11.163895,9.74370205,0.0,Bauchi,Warji,Northern Flash Floods,,0,0,1,0
9462,9462,481,1.8612706514321088e-05,299.546168029172,0.0019127004480768,0.0923628268059794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.926383889520713,11.09419375887609]}",9.926383889520713,11.09419375887609,POINT (9.926383889520713 11.094193758876091),265,Gwaram,,,,NG018011,Jigawa,,,,NG018,Nigeria,,,,NG,2019-04-17,,1858.61748807,v01,en,,,,Gwaram,Jigawa South-West,NG01803,11.2088772,10.07110586,0.0,Jigawa,Gwaram,Northern Flash Floods,River Floodplain,0,1,3,0
9463,9463,517,0.0001304887476602,299.66746729112725,0.0018888287538389,0.1757892888375438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.016215417932665,11.09419375887609]}",10.016215417932663,11.09419375887609,POINT (10.016215417932663 11.094193758876091),265,Gwaram,,,,NG018011,Jigawa,,,,NG018,Nigeria,,,,NG,2019-04-17,,1858.61748807,v01,en,,,,Gwaram,Jigawa South-West,NG01803,11.2088772,10.07110586,0.0,Jigawa,Gwaram,Northern Flash Floods,River Floodplain,0,1,7,1
9464,9464,498,0.0001385200654791,299.79505270060264,0.0018654920731776,0.1753752328445246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.106046946344616,11.09419375887609]}",10.106046946344616,11.09419375887609,POINT (10.106046946344616 11.094193758876091),265,Gwaram,,,,NG018011,Jigawa,,,,NG018,Nigeria,,,,NG,2019-04-17,,1858.61748807,v01,en,,,,Gwaram,Jigawa South-West,NG01803,11.2088772,10.07110586,0.0,Jigawa,Gwaram,Northern Flash Floods,River Floodplain,0,1,7,1
9465,9465,463,0.0001322276404,300.1120125291621,0.0018734066981056,0.1747664970004465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.195878474756569,11.09419375887609]}",10.195878474756569,11.09419375887609,POINT (10.195878474756569 11.094193758876091),230,Ganjuwa,,,,NG005008,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4889.69236326,v01,en,,,,Ganjuwa,Bauchi Central,NG00501,10.74717585,10.0430485,0.0,Bauchi,Ganjuwa,Northern Flash Floods,,0,0,4,1
9466,9466,448,0.0001400057336936,300.210011497183,0.0018980305779327,0.1755345064665506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.285710003168521,11.09419375887609]}",10.28571000316852,11.09419375887609,POINT (10.28571000316852 11.094193758876091),151,Darazo,,,,NG005005,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,3052.47232235,v01,en,,,,Darazo,Bauchi Central,NG00501,11.10838902,10.50959996,0.0,Bauchi,Darazo,Northern Flash Floods,,0,0,4,1
9467,9467,449,0.0001350711675769,300.02819938317305,0.0019029554661159,0.1643087316571387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.375541531580472,11.09419375887609]}",10.375541531580472,11.09419375887609,POINT (10.375541531580472 11.094193758876091),151,Darazo,,,,NG005005,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,3052.47232235,v01,en,,,,Darazo,Bauchi Central,NG00501,11.10838902,10.50959996,0.0,Bauchi,Darazo,Northern Flash Floods,,0,0,4,1
9468,9468,486,7.021111584536728e-05,299.89888378069617,0.0017986522073305,0.1317231732381097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.465373059992425,11.09419375887609]}",10.465373059992425,11.09419375887609,POINT (10.465373059992425 11.094193758876091),151,Darazo,,,,NG005005,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,3052.47232235,v01,en,,,,Darazo,Bauchi Central,NG00501,11.10838902,10.50959996,0.0,Bauchi,Darazo,Northern Flash Floods,,0,0,2,0
9469,9469,469,1.1828947780013684e-05,299.92009121784423,0.0016553318800162,0.0829561814749675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.555204588404377,11.09419375887609]}",10.555204588404376,11.09419375887609,POINT (10.555204588404377 11.094193758876091),151,Darazo,,,,NG005005,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,3052.47232235,v01,en,,,,Darazo,Bauchi Central,NG00501,11.10838902,10.50959996,0.0,Bauchi,Darazo,Northern Flash Floods,,0,0,0,0
